"NICA","TIPO_VIA","NOMBRE_VIA","NUMERO","ESCALERA","PISO","PUERTA","COD_POSTAL","PROVINCIA","LOCALIDAD","MUNICIPIO","TELEFONO","AMP_DOMICILIO"
19234,"PZ","MAYOR","S/N",,,,4276,"ALMERIA",,"BENIZALON",950361807,
18900,"CL","RUIZ MUÑOZ",15,,,,4570,"ALMERIA",,"BENTARIQUE",,
19039,"CL","VELEZ RUBIO S/N",,,,,4713,"ALMERIA","(BALANEGRA)","BERJA",950406066,
18867,"PZ","CONSTITUCION",11,,,,4760,"ALMERIA",,"BERJA",950490005,
18945,"CL","MANUEL SALMERON",18,,,,4760,"ALMERIA",,"BERJA",950490108,
19056,"CL","NICOLAS SALMERON",10,,,,4760,"ALMERIA",,"BERJA",950490930,
19055,"AV","MANUEL SALMERON",107,,,,4760,"ALMERIA",,"BERJA",950492176,
18828,"CL","MARQUEZ DE INIZA",11,,,,4760,"ALMERIA",,"BERJA",950492939,
18787,"AV","28 DE FEBRERO",93,,,,4768,"ALMERIA",,"BERJA",,
19169,"CL","REAL",4,,,,4450,"ALMERIA",,"CANJAYAR",950511020,
19155,"CL","LA ERMITA",44,,,,4850,"ALMERIA",,"CANTORIA",950436033,
18982,"CL","AVENIDA DE GARRUCHA",10,,,,4140,"ALMERIA",,"CARBONERAS",950130011,
18922,"CL","CASTILLO",2,,,,4140,"ALMERIA",,"CARBONERAS",950454508,
32098,"AV","DE ALMERIA",24,,,,4140,"ALMERIA",,"CARBONERAS",,
19161,"CL","TERCIA",3,,,,4858,"ALMERIA",,"COBDAR",950122215,
23088,"CL","MAYOR","S/N",,,,4618,"ALMERIA","(PALOMARES)","CUEVAS DEL ALMANZORA",950467201,"EDIF. 4º MILENIO, LOCAL 3"
18986,"CL","EL PILAR",13,,,,4610,"ALMERIA",,"CUEVAS DEL ALMANZORA",950456028,
19182,"CL","POETA ALVAREZ DE SOTOMAYOR",,,,,4610,"ALMERIA",,"CUEVAS DEL ALMANZORA",950456083,
19144,"AV","BARCELONA",109,,,,4610,"ALMERIA",,"CUEVAS DEL ALMANZORA",950456339,
18960,"CL","PLAZA DE LA CONSTITUCION,",2,,,,4861,"ALMERIA",,"CHERCOS",950122524,
18818,"CL","CONSTITUCION",6,,,,4825,"ALMERIA",,"CHIRIVEL",950413003,
18918,"PZ","DEL AYUNTAMIENTO",7,,,,4750,"ALMERIA",,"DALIAS",950494007,
19216,"CL","MALAGA",4,,,,4729,"ALMERIA",,"ENIX",950559710,
19245,"UR","LA HUERTA",13,,,,4739,"ALMERIA",,"FELIX",950559621,
18953,"CL","PRINCIPE FELIPE",7,,,,4869,"ALMERIA",,"FINES",950444098,
18889,"CL","VISTILLAS",3,,,,4500,"ALMERIA",,"FIÑANA",950352024,
18980,"CL","SAN SEBASTIAN",11,,,,4500,"ALMERIA",,"FIÑANA",950352034,
18954,"CL","POETA MARTIN DEL REY",2,,,,4460,"ALMERIA",,"FONDON",950513305,
19226,"AV","LA PAZ",2,,,,4560,"ALMERIA",,"GADOR",950645203,
18883,"CL","MAYOR",34,,,,4280,"ALMERIA",,"GALLARDOS (LOS)",950469082,
19083,"CL","MAYOR",144,,,,4630,"ALMERIA",,"GARRUCHA",950460085,
18984,"CL","SEBASTIAN PEREZ",5,,,,4550,"ALMERIA",,"GERGAL",950353002,
19235,"CM","CRISTOBAL DIAZ",11,,,,4409,"ALMERIA",,"HUECIJA",950640025,
19240,"CL","REAL",11,,,,4230,"ALMERIA",,"HUERCAL DE ALMERIA",950300157,
19181,"CR","HUERCAL S/N",,,,,4230,"ALMERIA",,"HUERCAL DE ALMERIA",950300649,"ACCESO A TORRECARDENAS"
19042,"CR","COMARCAL 321 S/N",,,,,4693,"ALMERIA","(SANTA MARIA DE NIEVA)","HUERCAL-OVERA",950137191,
31162,"CL","DOCTOR JIMENEZ DIAZ","S/N",,,,4600,"ALMERIA",,"HUERCAL-OVERA",950456413,
18810,"PZ","CONSTITUCION",5,,,,4600,"ALMERIA",,"HUERCAL-OVERA",950470014,
18784,"AV","GUILLERMO REINA",7,,,,4600,"ALMERIA",,"HUERCAL-OVERA",950470040,
19078,"PZ","DE LA CONSTITUCION",14,,,,4600,"ALMERIA",,"HUERCAL-OVERA",950470082,
18963,"AV","GUILLERMO REINA",24,,,,4600,"ALMERIA",,"HUERCAL-OVERA",950470410,"LOCAL 17-A"
19053,"AV","PRINCIPE DE ASTURIAS",28,,,,4431,"ALMERIA",,"ILLAR",950647036,
18972,"CL","CONCHA ROS",5,,,,4430,"ALMERIA",,"INSTINCION",950648034,
18819,"CL","ESTACION",20,,,,4868,"ALMERIA",,"LAROYA",950442141,
19121,"CL","CANALEJAS",10,,,,4470,"ALMERIA",,"LAUJAR DE ANDARAX",950513213,
18776,"CL","PARRAL",22,,,,4859,"ALMERIA",,"LIJAR",950122204,
18772,"CL","ALMERIA",,,,,4271,"ALMERIA",,"LUBRIN",950477125,
18808,"CL","ALMERIA",21,,,,4210,"ALMERIA",,"LUCAINENA DE LAS TORRES",950364361,
19046,"CL","SARGENTO GALERA",1,,,,4887,"ALMERIA",,"LUCAR",950424611,
18837,"PZ","LA CONSTITUCION",2,,,,4867,"ALMERIA",,"MACAEL",950445011,
18971,"PZ","DE LA PISÁ DEL CABALLO",1,,,,4867,"ALMERIA",,"MACAEL",950445431,
18910,"CL","JUAN ALIAGA",3,,,,4838,"ALMERIA",,"MARIA",950417105," ESQUINA MARTIRES DE TURON"
19185,"AV","MEDITERRANEO S/N, ESQUINA A C/ ZURBARAN",237,,,,4638,"ALMERIA",,"MOJACAR",950615069,
18770,"CL","PEDRO VILLAZAR",2,,,,4638,"ALMERIA",,"MOJACAR",,
18811,"CL","IGLESIA",1,,,,4638,"ALMERIA",,"MOJACAR",,
18814,"CL","GRANADA",12,,,,4540,"ALMERIA",,"NACIMIENTO",950350537,
19117,"CR","DEL IRYDA S/N",,,,,4110,"ALMERIA","(CAMPOHERMOSO)","NIJAR",950385358,
19120,"CL","ISABEL LA CATOLICA",3,,,,4110,"ALMERIA","(CAMPOHERMOSO)","NIJAR",950513213,
18861,"AV","CONSTITUCION",15,,,,4117,"ALMERIA","(SAN ISIDRO DE NIJAR)","NIJAR",950366009,
18985,"CL","CORREOS S/N",,,,,4118,"ALMERIA","(SAN JOSE)","NIJAR",950380087,
19114,"CL","FEDERICO GARCIA LORCA",58,,,,4100,"ALMERIA",,"NIJAR",950360200,
18965,"CL","AGUILAR",3,,,,4459,"ALMERIA",,"OHANES",950510365,
19179,"CL","GRANADA",7,,,,4860,"ALMERIA",,"OLULA DEL RIO",950441010,
19184,"CL","RAMON Y CAJAL",50,,,,4860,"ALMERIA",,"OLULA DEL RIO",950441258,
18913,"CL","PORCHE",6,,,,4810,"ALMERIA",,"ORIA",950122762,
18955,"CL","RUIZ OCAÑA",20,,,,4458,"ALMERIA",,"PADULES",950510029,
27809,"CL","JOSE ANTONIO",6,,,,4810,"ALMERIA",,"PARTALOA",,
19154,"CR","LAUJAR",18,,,,4479,"ALMERIA",,"PATERNA DEL RIO",950513632,
19126,"CL","ESPRONCEDA",1,,,,4250,"ALMERIA",,"PECHINA",950317182,
27801,"AV","DE LOS ANTONES",28,,,,4600,"ALMERIA","(PULPI)","PULPI",,
18827,"AV","ANDALUCIA",78,,,,4640,"ALMERIA",,"PULPI",950464047,
18842,"PZ","GENERALISIMO",10,,,,4870,"ALMERIA",,"PURCHENA",950423113,
18780,"CR","DEL CARMEN",16,,,,4440,"ALMERIA",,"RAGOL",950648074,
19153,"PZ","CONSTITUCION",11,,,,4260,"ALMERIA",,"RIOJA",950310278,
18777,"AV","CARLOS I II",565,,,,4720,"ALMERIA","(AGUADULCE)","ROQUETAS DE MAR",950340242,
19044,"PS","MARITIMO",,,,,4720,"ALMERIA","(AGUADULCE)","ROQUETAS DE MAR",950345009,"PARCELA H3"
19133,"AV","CARLOS III,",312,,,,4720,"ALMERIA","(AGUADULCE)","ROQUETAS DE MAR",950349800,
19160,"AV","JUAN DE AUSTRIA",158,,,,4720,"ALMERIA","(AGUADULCE)","ROQUETAS DE MAR",,
18914,"CR","DE LA MOJONERA",502,,,,4740,"ALMERIA","(CORTIJOS DE MARIN)","ROQUETAS DE MAR",950322532,
18968,"AV","LAS MARINAS",186,,,,4740,"ALMERIA","(MARINAS (LAS))","ROQUETAS DE MAR",950334207,
18778,"CL","MARMOLES",2,,,,4742,"ALMERIA","(PARADOR DE LAS HORTICHUELAS (EL))","ROQUETAS DE MAR",950341744,
18830,"AV","MEDITERRANEO",12/13,,,,4740,"ALMERIA","(ROQUETAS DE MAR)","ROQUETAS DE MAR",950333919,"CENTRO COMERCIAL ANDALUZ, LOCALES 12 Y 13"
18829,"UR","PLAYA SERENA",3,,,,4740,"ALMERIA","(URBANIZACION ROQUETAS DE MAR)","ROQUETAS DE MAR",950333844,"EDIFICIO LOS FLAMENCOS, LOCAL 3"
18815,"CL","NICOLAS NAVAS","S/N",,,,4740,"ALMERIA",,"ROQUETAS DE MAR",950320029,
18821,"AV","FARO SABINAL",1,,,,4740,"ALMERIA",,"ROQUETAS DE MAR",950320778,
19225,"CL","PABLO PICASSO",139,,,,4740,"ALMERIA",,"ROQUETAS DE MAR",950320933,
18860,"CL","JUAN BONACHERA",36,,,,4740,"ALMERIA",,"ROQUETAS DE MAR",950320975,
19143,"CR","LA MOJONERA S/N",,,,,4740,"ALMERIA",,"ROQUETAS DE MAR",950321060,
19149,"CL","LABRADORES, ESQUINA C/ MOLINA",,,,,4740,"ALMERIA",,"ROQUETAS DE MAR",950322671,
18841,"CR","SABINAL",309,,,,4740,"ALMERIA",,"ROQUETAS DE MAR",950323805,"BIS"
19158,"AV","JUAN CARLOS I",70,,,,4740,"ALMERIA",,"ROQUETAS DE MAR",,
18873,"CL","PIEDRA CASTAÑO",10,,,,4568,"ALMERIA",,"SANTA CRUZ DE MARCHENA",950643188,
18981,"CL","IGLESIA",3,,,,4420,"ALMERIA",,"SANTA FE DE MONDUJAR",950640365,
19214,"CL","ALMERIA",8,,,,4213,"ALMERIA",,"SENES",950362336,
19123,"CL","VELAZQUEZ",2,,,,4890,"ALMERIA",,"SERON",950426028,
18964,"CL","REAL",115,,,,4890,"ALMERIA",,"SERON",950426038,
19242,"CL","CRUZ COLORADA",1,,,,4878,"ALMERIA",,"SIERRO",950423372,
18893,"PZ","DEL SANTO",8,,,,4877,"ALMERIA",,"SOMONTIN",950424500,
18826,"CL","CABO MELENDEZ",1,,,,4270,"ALMERIA",,"SORBAS",950364102,
18949,"CL","LAS ERAS,",23,,,,4878,"ALMERIA",,"SUFLI",950423411,
19124,"CL","ZAMORA",44,,,,4200,"ALMERIA",,"TABERNAS",950365231,
19113,"AV","DE MURCIA,","S/N",,,,4692,"ALMERIA",,"TABERNO",950123082,
19037,"CL","CASTILLO S/N",,,,,4275,"ALMERIA",,"TAHAL",950434829,
18865,"CL","REAL",20,,,,4569,"ALMERIA",,"TERQUE",950643330,
18977,"CR","DEL SOCORRO",45,,,,4880,"ALMERIA",,"TIJOLA",950420177,
19247,"CL","CARRERA DEL SOCORRO",14,,,,4880,"ALMERIA",,"TIJOLA",950420179,
19229,"CL","LAS TIENDAS",1,,,,4639,"ALMERIA",,"TURRE",950479012,
19221,"PZ","DE LA IGLESIA",10,,,,4211,"ALMERIA",,"TURRILLAS",,
18931,"CL","FRONTON S/N",,,,,4279,"ALMERIA",,"ULEILA DEL CAMPO",950363155,
19223,"CL","PILAR",10,,,,4879,"ALMERIA",,"URRACAL",950424589,
18874,"CL","ALMERIA",2,,,,4212,"ALMERIA",,"VELEFIQUE",950365391,
19119,"CL","SAN LAZARO",7,,,,4830,"ALMERIA",,"VELEZ-BLANCO",950415201,
19244,"CL","CLAVEL",3,,,,4830,"ALMERIA",,"VELEZ-BLANCO",950415457,
19151,"CL","JUAN M. ARENAL",1,,,,4820,"ALMERIA",,"VELEZ-RUBIO",950410010,
19167,"CL","CARRIL",19,,,,4820,"ALMERIA",,"VELEZ-RUBIO",950410033,
18890,"CL","SAN FRANCISCO",6,,,,4820,"ALMERIA",,"VELEZ-RUBIO",950410206,
18923,"CR","VERA A GARRUCHA",,,,,4620,"ALMERIA",,"VERA",950132279,"LAS MARINAS DE VERA"
18806,"CL","ALFREDO ALMUNIA",18,,,,4620,"ALMERIA",,"VERA",950390136,
18805,"AV","MEDITERRANEO",60,,,,4620,"ALMERIA",,"VERA",950390712,
24478,"CR","VERA A GARRUCHA","S/N",,,,4620,"ALMERIA",,"VERA",,
19232,"CR","DE ALMERIA",12,,,,4240,"ALMERIA",,"VIATOR",950300380,
18862,"PZ","CONSTITUCION",3,,,,4240,"ALMERIA",,"VIATOR",950300437,
19134,"AV","DEL MEDITERRANEO",28,,,,4738,"ALMERIA","(LLANOS DE VICAR)","VICAR",950539509,
18919,"AV","BULEVAR CIUDAD DE VICAR",672,,,,4736,"ALMERIA","(GANGOSA (LA))","VICAR",950343402,
27175,"AV","DEL GUADALQUIVIR",2,,,,4738,"ALMERIA","(GANGOSA (LA))","VICAR",,
19239,"CL","AGUA",14,,,,4737,"ALMERIA","(PUEBLA DE VICAR)","VICAR",950553201,
18920,"CL","ALCALA",8,,,,4738,"ALMERIA","(CABAÑUELAS (LAS))","VICAR",950554225,
18899,"AV","CARLOS III,",2,,,,4738,"ALMERIA",,"VICAR",950341659,
18807,"CL","FERNANDEZ CUESTA",15,,,,4650,"ALMERIA",,"ZURGENA",950449181,
19252,"CL","CAMACHA",28,,,,4530,"ALMERIA",,"TRES VILLAS (LAS)",950350788,"DOÑA MARIA"
18835,"UR","DARSENA DE PONIENTE","S/N",,,,4700,"ALMERIA","(ALMERIMAR)","EJIDO (EL)",950497107,
18911,"CL","PRINCESA SOFIA",32,,,,4712,"ALMERIA","(BALERMA)","EJIDO (EL)",950407211,
26897,"CL","SIERRA NEVADA",11,,,,4700,"ALMERIA","(EJIDO (EL))","EJIDO (EL)",,
26898,"AV","JUAN CARLOS I",32,,,,4700,"ALMERIA","(EJIDO (EL))","EJIDO (EL)",,
18967,"CR","GUARDIAS VIEJAS",,,,,4715,"ALMERIA","(BAÑOS DE GUARDIAS VIEJAS (LOS))","EJIDO (EL)",950498935,
19159,"CR","SAN AGUSTIN",1,,,,4716,"ALMERIA","(NORIAS DE DAZA (LAS))","EJIDO (EL)",950587553,
19168,"CL","AGUA",25,,,,4716,"ALMERIA","(SAN AGUSTIN)","EJIDO (EL)",950536357,
19230,"CL","VALENCIA",2,,,,4710,"ALMERIA","(SANTA MARIA DEL AGUILA)","EJIDO (EL)",850583193,
18823,"AV","DAZA CASTAÑEDA",122,,,,4710,"ALMERIA","(SANTA MARIA DEL AGUILA)","EJIDO (EL)",950580501,
19034,"CR","DE MALAGA",119,,,,4700,"ALMERIA",,"EJIDO (EL)",950480211,
18825,"AV","OASIS",128,,,,4701,"ALMERIA",,"EJIDO (EL)",950480561,"SANTO DOMINGO"
19174,"CL","LOMA DE LA MEZQUITA","49-51",,,,4700,"ALMERIA",,"EJIDO (EL)",950480630,
18775,"CR","DE MALAGA",243,,,,4700,"ALMERIA",,"EJIDO (EL)",950481051,
19040,"CR","DE MALAGA",195,,,,4700,"ALMERIA",,"EJIDO (EL)",950481105,
19241,"CR","VENTA PAMPANICO",368,,,,4700,"ALMERIA",,"EJIDO (EL)",950486306,
24838,"PS","DE LAS LOMAS",123,,,,4700,"ALMERIA",,"EJIDO (EL)",950486856,
18836,"AV","EUROPA ESQ. CON DOCTOR FLEMING","S/N",,,,4740,"ALMERIA","(MOJONERA (LA))","MOJONERA (LA)",950330008,
18866,"CL","SOLERA",45,,,,4741,"ALMERIA",,"MOJONERA (LA)",950330780,
