"DIRECCION","LOCALIDAD","provincia","NUMERO"
"AVENIDA DEL SUR, 5 GRANADA Juzgado de lo Contencioso Administrativo Nº2 de Granada","GRANADA","Granada",1
"CANOVAS DEL CASTILLO, 35 3ª PLANTA DPTO DE INFORMATICA","CADIZ","Cádiz",1
"C/ FISCAL LUIS PORTERO GARCIA S/N - Juzgado de lo Penal Nº9 de Málaga","MALAGA","Málaga",1
"Plaza Nueva, 8 GRANADA Decanato Instancia de Granada","GRANADA","Granada",1
"AVDA. DE CARLOS V, S/N (PRADO DE SAN SEBASTIAN) SEVILLA Tribunal Superior de Justicia - Sección 4ª de la Sala Contencioso Administrativo de Sevilla","SEVILLA","Sevilla",1
"ALONSO PEREZ, 13","ALMONTE","Huelva",1
"CALLE SANTO TOMÁS DE AQUINO S/N, 9ª PLANTA. DPTO. iNFORMÁTICA","CORDOBA","Córdoba",1
"Plaza Nueva, 10 - Audiencia Provincial - Sección 2ª - Penal de Granada","GRANADA","Granada",1
"AVDA. MIGUEL DE CERVANTES, S/N - Juzgado de Primera Instancia e Instrucción Nº3 de Antequera","ANTEQUERA","Málaga",1
"C/ TABLADILLA, S/N EDIFICIO 11 6ª PLANTA- OFICINA PROCESO DE DATOS","SEVILLA","Sevilla",1
"AVDA DE HUELVA S/N ARACENA -Juzgado de Primera Instancia e Instrucción Nº1 de Aracena-","ARACENA","Huelva",1
"C/ FISCAL LUIS PORTERO GARCIA S/N MALAGA *Juzgado de lo Contencioso Administrativo Nº3 de Málaga*","MALAGA","Málaga",1
"C/ Santo Tomás de Aquino, s/n, Edif. Servicios Múltiples, 5ª Planta, Dep. Informática","VILLANUEVA DE CORDOBA","Córdoba",1
"PASEO DE LA ESTACION , 19 5ª PLANTA INFORMATICA","JAEN","Jaén",1
"C/ FIELATO DE LA POSTA, S/N. MOTRIL - Juzgado de Primera Instancia e Instrucción Nº4 de Motril","MOTRIL","Granada",1
"TOMAS AQUINO. S/N","CORDOBA","Córdoba",1
"Avda. Albert Einstein, 4 *Consejería de Economía Innovación y Ciencia*","SEVILLA","Sevilla",1
"AVDA. DIEGO MARTÍNEZ BARRIO N.1041013 - SEVILLA. Centro SSCC *Informática*","SEVILLA","Sevilla",1
"RONDA DE LOS TEJARES, 16 CORDOBA","CORDOBA","Córdoba",1
"C/ NUESTRA SEÑORA DEL CARMEN, S/N DOS HERMANAS *Juzgado de Primera Instancia e Instrucción Nº6 de Dos Hermanas*","DOS HERMANAS","Sevilla",1
"PLAZA ASDRUBAL, S/N.4ª PLANTA *DELEGACION PROVINCIAL DE CADIZ DE TRABAJO*","CADIZ","Cádiz",1
"AVDA. MANUEL AGUSTIN HEREDIA, 26 (ESQ. ALAMEDA DE COLON , 17 ) MALAGA 3ª planta (preguntar en informatica)","MALAGA","Málaga",1
"PLAZA NUEVA, 10 GRANADA - Tribunal Superior de Justicia de Andalucía, Ceuta y Melilla - Sala de lo Contencioso-Administrativo de Granada Sección 3ª","GRANADA","Granada",1
"C/ INDICO, EDIF. INDICO, 3ª PTA - Juzgado de lo Contencioso Administrativo Nº1 de Jerez de la Frontera","JEREZ DE LA FRONTERA","Cádiz",1
"LIBERTADOR JOSE GERVASIO ARTIVAS, S/N NAVE 8","CORDOBA","Córdoba",1
"Ctra. de Ronda nº 120 I.M.L. de Almería (Central)","ALMERIA","Almería",1
"Ctra. de Ronda nº 120- Juzgado de Primera Instancia Nº4 de Almería","ALMERIA","Almería",1
"C/ ALBERT EINSTEIN S/N, 41092 ISLA DE LA CARTUJA","SEVILLA","Sevilla",1
"AVDA. DE CARLOS V, S/N (PRADO DE SAN SEBASTIAN) - Audiencia Provincial - Sección 5ª - Civil de Sevilla","SEVILLA","Sevilla",1
"C/ VERMONDO RESTA, S/N. SEVILLA *Juzgado de Primera Instancia Nº14 de Sevilla*","SEVILLA","Sevilla",1
"C/ TOMAS AQUINO, Nº 1, 5º Y 6º Edif. Servicios Múltiples, 5ª Planta, Dep. Informática 14004 CORDOBA DEL. PROV. CONSEJERÍA AGRICULTURA Y PESCA DE CÓRDOBA","CORDOBA","Córdoba",1
